Date,Name,Year,Letterboxd URI
2022-11-16,Lucky,2017,https://boxd.it/el3M
2022-11-16,Blade Runner,1982,https://boxd.it/2bcA
2022-11-16,Blade Runner 2049,2017,https://boxd.it/b8wK
2022-11-16,Blue Velvet,1986,https://boxd.it/29BI
2022-11-16,Voyage of Time: The IMAX Experience,2016,https://boxd.it/eJjO
2022-11-16,A Spell to Ward Off the Darkness,2013,https://boxd.it/6jIW
2022-11-16,Harry Dean Stanton: Partly Fiction,2012,https://boxd.it/4fVo
2022-11-16,Trainwreck: Woodstock '99,2022,https://boxd.it/C4jc
2022-11-16,Mad God,2021,https://boxd.it/vVPm
2022-11-16,Il Buco,2021,https://boxd.it/ozry
2022-11-16,David Lynch: The Art Life,2016,https://boxd.it/eASq
2022-11-16,Tenet,2020,https://boxd.it/leq4
2022-11-16,8½,1963,https://boxd.it/2aqm
2022-11-18,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu
2022-11-19,Last Night in Soho,2021,https://boxd.it/lbJC
2022-11-20,Her,2013,https://boxd.it/4O24
2022-11-20,Jojo Rabbit,2019,https://boxd.it/iEBG
2022-11-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-11-20,Arrival,2016,https://boxd.it/aNGk
2022-11-20,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2022-11-20,The Menu,2022,https://boxd.it/lScm
2022-11-25,Aftersun,2022,https://boxd.it/Arw0
2022-11-26,Roald Dahl's Matilda the Musical,2022,https://boxd.it/oToE
2022-11-29,She Said,2022,https://boxd.it/vBaI
2022-12-01,Idiot Prayer: Nick Cave Alone at Alexandra Palace,2020,https://boxd.it/reRG
2022-12-04,Bill & Ted Face the Music,2020,https://boxd.it/i7BI
2022-12-11,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2022-12-16,Strange World,2022,https://boxd.it/x6Li
2022-12-17,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2022-12-20,Anima,2019,https://boxd.it/mxuc
2023-01-03,I Wanna Dance with Somebody,2022,https://boxd.it/q0Dy
2023-01-04,Knives Out,2019,https://boxd.it/jWEA
2023-01-05,Glass Onion,2022,https://boxd.it/oCkK
2023-01-08,"Techno, Mama",2021,https://boxd.it/wgoc
2023-01-09,A Man Called Otto,2022,https://boxd.it/zl06
2023-01-11,Empire of Light,2022,https://boxd.it/uGpm
2023-01-13,Paris Is Burning,1990,https://boxd.it/1jzg
2023-01-14,My Dinner with Andre,1981,https://boxd.it/1vLe
2023-01-16,TÁR,2022,https://boxd.it/uNIA
2023-01-18,Blood Brothers: Malcolm X & Muhammad Ali,2021,https://boxd.it/wyjk
2023-01-18,Moulin Rouge!,2001,https://boxd.it/29wI
2023-01-18,Akira,1988,https://boxd.it/2b1i
2023-01-18,Juno,2007,https://boxd.it/210a
2023-01-18,Wonder Woman,2017,https://boxd.it/9roG
2023-01-18,Philomena,2013,https://boxd.it/69OA
2023-01-18,GoodFellas,1990,https://boxd.it/29FA
2023-01-18,Scarface,1983,https://boxd.it/2b7g
