Date,Name,Year,Letterboxd URI
2023-01-18,When Marnie Was There,2014,https://boxd.it/78pm
2023-01-18,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2023-01-18,American Hustle,2013,https://boxd.it/5dz8
2023-01-18,12 Years a Slave,2013,https://boxd.it/2D2e
2023-01-18,Under the Skin,2013,https://boxd.it/3mDa
2023-01-18,Whistle and I'll Come to You,2010,https://boxd.it/4ATI
2023-01-18,Four Lions,2010,https://boxd.it/18do
2023-01-18,Joy Division,2007,https://boxd.it/1Myc
2023-01-18,Tideland,2005,https://boxd.it/1Tyy
2023-01-18,Lost in La Mancha,2002,https://boxd.it/1Cie
2023-01-18,City of God,2002,https://boxd.it/2a2a
2023-01-18,Rabbits,2002,https://boxd.it/SaI
2023-01-18,Magnolia,1999,https://boxd.it/2aze
2023-01-18,The Green Mile,1999,https://boxd.it/2agG
2023-01-18,Blade,1998,https://boxd.it/1a8A
2023-01-18,Godzilla,1998,https://boxd.it/29fW
2023-01-18,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2023-01-18,Jackie Brown,1997,https://boxd.it/2aVO
2023-01-18,Crash,1996,https://boxd.it/29n2
2023-01-18,Ghost in the Shell,1995,https://boxd.it/1YYc
2023-01-18,La Haine,1995,https://boxd.it/2as8
2023-01-18,Star Trek VI: The Undiscovered Country,1991,https://boxd.it/2aXg
2023-01-18,Only Yesterday,1991,https://boxd.it/1MR4
2023-01-18,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2023-01-18,Boyz n the Hood,1991,https://boxd.it/29Ug
2023-01-18,RoboCop 2,1990,https://boxd.it/22Wk
2023-01-18,Star Trek V: The Final Frontier,1989,https://boxd.it/2aXA
2023-01-18,The Adventures of Baron Munchausen,1988,https://boxd.it/1NXs
2023-01-18,Die Hard,1988,https://boxd.it/2a7u
2023-01-18,Grave of the Fireflies,1988,https://boxd.it/1RUM
2023-01-18,"Good Morning, Vietnam",1987,https://boxd.it/29Aq
2023-01-18,RoboCop,1987,https://boxd.it/22Wu
2023-01-18,Platoon,1986,https://boxd.it/29BS
